Questions,Answers
He wanted to know what business school.,"Oh, business schools. Yeah, well, I would say this that I think Bruce Greenwald's class at Columbia is very good. He gets in a lot of people that are practitioners. So there's a lot of practicality to the course. And I think Bruce is good. He's got to do a book coming out that probably within the next six months or so that we'll deal with that. And then there also has been a endowed at the University of Florida. Certain courses relating to value investing. And I think there's been one at the University of Missouri. So I would suggest you at least check out the curriculum at the University of Missouri in Columbia and Florida and do a little comparison and maybe check with a few graduates. Recent graduates as to what kind of experience they had. I think you can find them. I think that's the best system for evaluating a place. But those three at least have courses that based on the catalog sound like they might be of interest to you. Charlie? Yeah. A huge majority of the business school teaching on the field of investment, passive portfolios of securities is not what we believe and not what Warren was taught years ago by Ben Graham. They're just little pockets of our attitude left. There's one at Stanford, Jack McDonald. Yeah, sure. And that's graduate school. He's a graduate school. And what's interesting about that is I think it's the most popular course in the whole Stanford business school. They've got some kind of a bidding system. And yet I asked Jack how he felt. And he said he felt lonely. He's got the most popular course. But in the whole professoriate dealing with investment matters, the Jack McDonald's are a little clan of their own in a side pocket, so to speak. Now they're right, and they can take whatever consolation they get from that. But mostly if you go to a business school, you will learn a lot of things we don't believe. Jack, Bob Kirby comes in and works with Jack sometimes, too. And Bob has got a terrific mind in terms of investment. So there's no question about that. It's not the easiest school in the world to get into. And it is at the graduate level. But there are these occasional anomalies, as they would say, in the teaching world. I mean, what you really want a course on investing to be is how to value a business. That's what the game is about. I mean, if you don't know how to value a business, you don't know how to value a stock. And if you look at what is being taught, I think you see very little of how to value a business. And the rest of it is playing around maybe with numbers or Greek symbols or something of the sort. But it doesn't do you any good. I mean, in the end, you have to decide whether you're going to value a business at $400 million or $600 million or $800 million. And then you compare that with the price. And that's what investing is. And I don't know any other kind of investing, basically, to do. And that just isn't taught. And the reason it isn't taught is because there are teachers around who do know how to teach it. I mean, they don't know themselves. And since they don't know themselves, they teach something that says nobody knows anything. And which is the efficient market theory. And if I didn't know how to do it, if I ever teach physics, I'm going to come up with a theory that nobody knows anything. Because it's the only way I can get through the day. But it's fascinating to me how the really great universities operate in this respect. If you get a sacred writ, I mean, you get in the finance department because you sign on to whatever the present group thinks. And if they think the world is flat, you better think the world is flat too. And your students better answer the world's flat when they get on exams. I would say investment finance teaching in this country is in general is kind of pathetic. Well, I think the business schools do a pretty good job when it comes to accounting or personnel management or a whole lot of subjects, I think they do quite well with. But they miss one enormous opportunity. If you learn to think intelligently about how to invest successfully in businesses, you'll become a much better business manager than you will if you aren't good at understanding what's required for successful investment. So they're missing a huge opportunity to improve the management profession by doing such a lousy job in teaching investment. Yes, Charlie and I see CEOs all the time who, in a sense, don't know how to think about the value of businesses that are acquiring. And then, so they got in higher investment bankers. And guess what? The investment banker tells them what to do. They tell them to do it because they get 20 access. They do it and access if they don't do it. And guess how the advice comes out. So it's one a manager of a business feels helpless, which he won't say out loud, but inwardly, feels helpless in the question of asset allocation. He's got a real problem. And they have not gone to business schools that have given them any real help, I think, in terms of learning how to think about valuation and businesses. And that's one of the reasons that we write and talk about at some because there's a gap there."
"I've got a theoretical value question for you. If you were to buy a business and you bought it at its intrinsic value, what's the minimum after tax free cash flow yield you'd need to get? Your question is if we were buying all of a business and we were buying it at what we thought was intrinsic value, what was the minimum present earning power or what the minimum discount rate of future streams? No, what's the minimum current after tax free cash flow yield you'd need to get?","We could conceivably buy a business I don't think we would be likely to but we could conceivably buy a business that had no current after tax cash flow but we would have to think it was had a tremendous future but we would not find obviously the current figures particularly in the kind of businesses we buy tend to be representative we think of what's going to happen in the future but that would not necessarily have to be the case. You can argue for example in buying stock at a time when it was losing significant money. We didn't expect it to continue to lose significant money but if we think the present value of the future earning power is attractive enough compared to the purchase price we would not be overwhelmed by what the first year's figure would be. Charlie, do you want to add to that? Yeah, we don't care what we report in the first year or two of after buying anything. Well, I would say that in a world of 7% long-term bond rates that we would certainly want to think we were discounting future after tax streams of cash at least a 10% rate but that will depend on the certainty we feel about the business. The more certain that we feel about a business the closer we are willing to play it. We have to feel pretty certain about any business before we're even interested at all but there are still degrees of certainty and if we thought we were getting a stream of cash over the next 30 years that we felt extremely certain about we would use a discount rate that would be somewhat less than if it was one where we thought we might get some surprises in five or 10 years when the possibility existed."
Do you think gambling companies will have a great future? Thank you.,"A kind of capital? Gambling company. Gambling companies will have a terrific future if they're legal. Which ones or anything I don't know anything about that. But desire of people to gamble. And they gamble in stocks incidentally too. Day trading I would say very often was, came very close to gambling as defined. But people like to gamble. You know what I mean? That's if the Super Bowl is on or even in what better yet if a terribly boring football game is on. But you don't have anything to do. And you're sitting here with somebody else you're probably going to enjoy the game more. If you've had a few bucks on it one way or the other. As you know, I mean we ensure hurricane. So I watch the weather channel. But that's a. It can be exciting. But people the the human propensity to gamble is is huge. Now when it was legalized only in pretty much in Nevada. He had to go to some distance or break some laws to do any serious gambling. But as the states learn to. You know what a great source of of the revenue it was. They gradually made it easier and easier and easier for people to gamble and believe me the easier it's made. The more people will gamble. I mean when I was. But my my children are here and 40 years ago. I bought a slot machine and I put it up on our third floor. And I could give my kids any allowance they wanted as long as it was in dimes. I mean I had it all back by nightfall. I thought I would be a good lesson for him. Now they weren't going to Las Vegas to do it but believe me when it was on the third floor they could find it. You know and my payout ratio was terrible too but that's the kind of father I was. The but gambling you know people are always going to want to do it. And for that reason I particularly think that access. You know in terms of friendly gambling like that I'm not approved about it. But I do think that to quite an extent gambling is a tax on ignorance. I mean if you want to if you want to tax the ignorant people who will do things with the odds against them. You know you just put it in and guys like me don't have to pay taxes and I really don't I find that. I find it kind of socially revolving when a government a government prays on the weaknesses of its citizenry rather than acts to serve them. And believe me when a government six light. When a government makes it easy for people to take their social security checks and start pulling handles. Or participating in a lot of research or whatever it may be. It's a pretty cynical act. It works. It's a pretty cynical act. And it it it it it it released taxes on those. You know who don't fall for those and or who don't I want dreaming about having a car instead of actually having a car dreaming about a color TV instead of having one. So it's it's not government at his best and I think other things flow from that over time too. Charlie. Yeah I would argue that the gambling casinos use clever psychological tricks to cause people to hurt themselves. They're undoubtedly a lot of harmless amusement in the casinos but there's also a lot of grief as entry that is deliberately caused by the casinos. It's a dirty business and I don't think you'll find a casino soon in Berkshire Hathaway."
"I have a question of the annual report where you say that obviously going forward due to the size of Berkshire, the returns going forward probably won't master returns to the past. And then you go on to state that one thing that may hinder that is the fact that you don't really like to sell companies that you own. And I would just like to know what the reasoning is in that if you've got a company or investment that you don't think is going to do as well as where you can put the money going forward, what really the reasoning is for holding on and not redeploying the money elsewhere.","I'll just correct you just slightly. I didn't say we'd probably do worse than the past. I say we will do worse than the past. I mean, there's no way we could match percentage numbers of the past. And we would, in a period that would not take that long, we would, assuming we paid out nothing, we would gobble up the whole GDP, which is something we may think about occasionally. But I don't really expect to accomplish the, but, and the second point that that relates to size, that does not relate to our unwillingness to sell businesses because that unwillingness is existed for decades. But the size is not existed for decades. The size is doubling, doubling 12 billion or so is harder than doubling 1 billion, 2, which was harder than doubling 120 million. I mean, there's no question about that. So eventually, well, already, it will be a drag on performance. It doesn't mean that performance will be terrible, but it does mean that 23% is an historical figure that has no predictive value. The unwillingness to sell businesses, like I say, goes, goes back a long way. That is not what, that, that, that, that, that hurts performance. It's peanuts. That's simply a fact of, a, a function of, of the attitude, Charlie, and I have is that if we want to live our lives, we find it, we find it, errrarity when we find people in the business that we want to associate with. When we do find that, we enjoy it. We don't see any reason to make an extra half a percent a year or one percent a year. Don't try us on higher numbers, but the, the, the, we don't, we don't see a reason to, to go around, ending, ending friendships we have with people or contact or relationships. It just doesn't make any sense to us. We don't want to, we don't want to get committed to that sort of activity. We know we wouldn't do it if we were a private company. Now, in Berkshire, we feel we've, an unciated that position. We want to get that crossed everybody who might join with us because we don't want them to expect us to do it. We, we want to expect us to work hard to get a decent result and to make sure that the shareholders get the same result we get and all of that sort of thing. But we don't want to enter into any implicit contract with our fellow shareholders that will cause us to have to behave in a way that we really, we don't want to behave. If, if that's the price of making more money, it's a price we don't want to pay. There's other things we, other things we forego also. But that is the one that people might disagree with us on. But we want to be very sure that everybody understands that going in. That's, that's part of what you buy here and it may, I don't think it'll hurt performance that much anyway. But to the extent it does, it's, it's, it's a limitation you get with us. Try. I don't think there's any way to measure it exactly. But my guess is that if you, if you could, I pray something, you might call the character of the people that are running the operating businesses in Berkshire, many of whom helped create the businesses in the first place and are leading citizens in their community like the Hillsburgs. I don't think there's any other corporation in America that's done as well as we have. If you measure the human quality of the people, we're in it. Now, you can say we've collected high-grade people because we sure as hell couldn't create them. But one way or another, this is a remarkable system. And why would we tinker with it? If you want to, if you want to attract high-grade people, you probably ought to try and behave pretty well yourself. I mean, it's just, it's just, besides it, it wouldn't be any fun doing the other. I mean, I was in that position a little bit when I ran the partnership back in the 60s. And I really, people were coming into partnership with me and my job was to turn out the best return that we could. And I found that if I got into a business that presented certain alternatives that I didn't like. So Berkshire's a much more satisfactory in that respect."
"My husband and I will have some new money in the early 80s of our life. We have a daughter 50 years or Lula in here at anything we have. My question is, I also have a 4% interest on a mutual fund that is non-taxable. Are there any better ways to invest our money?","Those are tough questions. I run into friends of mine all the time where they come into a lump sum at a given time. Charlie and I do not have great answers about investing some of money. For people who are not really active in the process, if we were working with small sums now we would start looking at a whole bunch of small situations and some things that we might know how to do on a small scale. For the average investor, we want to invest in some kind of very low cost pool of money which might well be an index fund that makes as much sense as anything. It is important to keep the cost down. I have close to 100% of my net worth and I am comfortable with it because I like the businesses we own. I did not buy it at this price either. I do not like to go. I never recommend anybody buy or sell it. Charlie do you recommend anything? I think it is anybody in the room who thinks it would be very easy to come up with a one-liner for a great no-brainer investment tomorrow with a great slug of no money. I wish they would come up and tell me what it is. We do not have any solution to that one. It is harder for us now than it has been at other times. There have been a couple of times in 1974. There was something in Forbes and 1969 the reverse of that situation. I wrote an article for Forbes that can not remember exactly when it was about how equity is almost had to be more attractive than bonds at that time and bonds are not that unattractive. Every now and then you can say you are getting a great deal for your money in equities or sometimes you can say you are getting a great deal for your money and fixed income investments. You can't say that now. We find ourselves sitting and waiting for something and we continue to look. We are forced to look at bigger ideas. If we were working with smaller funds we would be much more likely to find something than we are in our present situation. Charlie says we really do not have any great one-line advice on it. I wish we did. We have a real long-term rate of return from saving money and investing it has to go down from recent experience in America, particularly equity related, recent experience. The wealth of the world can't increase at the kind of rates that people are used to in the American equity markets. They are going to equity markets can't hugely outperform the growth of the world forever. We ought to have reduced expectations regarding the future of general. We mentioned earlier 53% of the world stock market value is in the US. If US GDP grows at 4% or 5% a year with 1% or 2% inflation, which would be a very good result. I think it's very unlikely that corporate profits are going to grow at a greater rate than that. Corporate profits is a percent of GDP and on the high side already. You can't constantly have corporate profits grow at a faster rate than GDP. Obviously in the end they'd be greater than GDP. It's like somebody said that New York has more lawyers than people. There are certain conflicts in terminologies. If you say profits can get bigger than GDP. If you really have a situation where the best you can hope for in corporate profit growth over the years is 4% or 5%. How can it be reasonable to think that equities which are a capitalization of that corporate profits can grow at 15% a year? It is nonsense frankly. People are not going to average 15% or anything like it in equities. I would almost defy them to show me mathematically how it can be done in aggregate. I looked the other day at the Fortune 500 there and $334 billion on it and had a market cap of 9.9 trillion at the end of the year, which would probably be at least 10.5 trillion now. The only money investors are going to make in the long run are what the businesses make. There is nothing added. The government doesn't throw in anything. Nobody is adding to the pot. People are taking out from the pot in terms of frictional costs, investment management fees, brokerage commissions and all of that. The $334 million is all the investment earns. If you want to farm, what the farm produces is all you are going to get from the farm. If it produces $50 an acre of net profit, you get $50 an acre of net profit. If you own all of the Fortune 500, you own 100% of us, you would be making $334 billion. If you pay $10.5 trillion for that, that is not a great return on investment. Then you say yourself, can that double in five years? It can't double in five years. With GDP growing at 4% a year or some number like that, it would just produce things that are so out of whack in terms of experience in the American economy. Any time you get involved in these things where if you trace out the mathematics of it, you bump into absurdities, then you better change expectations so much. There are two great sayings. One is, if a thing can't go on forever, it will eventually stop. The other I borrowed from my friend Fred Stanbach, I think, is here. People who expect for petriule growth in real wealth and a finite earth are either madmen or economists. Don't fall for a place."
"Everybody in this room's got to be wondering the same question. Who in your opinion, both of you, is the next Warren Buffett? Charlie, who's the next Charlie Munger? Let's try that first.","That's a more difficult question. There's not much demand. I don't think there's only one way to succeed in life, and our successors in Duke time may be different in many ways. And they may do better. Incidentally, we have a number of people in the company, some of whom are in this room today, and the ones you saw on that screen, who are leagues ahead of Charlie and me in various kinds of abilities. There's a lot of different talents. We've got the best bridge player in the world. Charlie and I could work night and day, and if he spent 10 minutes a week working on it, he'd play better bridge than we would. And all kinds of intellectual endeavors. For some reason or another, one person's a little bit better wired for than someone else. And we have people running our businesses that, Charlie and I were put in charge of those businesses, we couldn't do remotely as well as they do. There's a lot of different talents. The two that we're responsible for is keep able people who are already rich, motivated to keep working at things where they don't need to do it for financial reasons. I mean, it's that simple. And that's a problem. Many of you could think about. And you'd probably be quite good at it if you gave a little thought, because you'd figure out what would cause you to work if you were already rich and didn't need the job. Why would you jump out of bed and be excited about going to work that day? And then we try to apply that to the people who work with us. Secondly, we have to allocate capital. And these days, we have to allocate a lot more capital than we had to allocate a decade ago. That job is very tough at present. Sometimes it's very easy. And it will be easier times in the future. And it'll be difficult at times in the future. But there are other people that can allocate capital. And we have, we have, we have them in the company."
"I'll be graduating from Harvard College in June and beginning a career in value investing. So I sure hope we're all right in thinking that this censure will be just as good as the last for value investors. You've been doing this since you were my age, if not younger. So I'm wondering what habits or habits have contributed most to your ability to continue learning and improving your investment decisions in a changing business and financial environment?","I would say that at least in my case, I haven't been continually learning in terms of the basic principles. You always learn a little more about given techniques or we learn, you know, I learn more about some industries over time and therefore maybe I've widened the universe in which I can operate all the more funds narrows it back down unfortunately. But I know more about businesses than I knew 20 years ago or 40 years ago. I haven't really changed the principles. The last change, the basic principles are still been Graham. They were affected in a significant way by Charlie and Bill Fisher in terms of looking at the better businesses. But I didn't leave any of, I didn't leave Graham behind on that. And I really haven't learned any new fundamental principles. But I may have learned a little bit more about how business operates over time. And there's really nothing. I mean, you ought to get an investment framework that comes straight from, in my view, from the intelligent investor and from Bill Fisher, more from the intelligent investor actually. And then I think you ought to learn everything you can about industries and businesses that where you think you have the ability to get your mind around them if you work at them. And with that arsenal, you'll do very well. And if you've got the temperament for the business, Charlie. Yeah, of course, I've watched, were on all these decades. And he's learned a hell of a lot. Even the last 20 or 30 years. So it's a game of continuing to learn. And he can denigrate this little fruit food that enables him to pick the biggest oil company in China or this or that. But those basic principles alone that he knew a long time ago wouldn't have given him the ability to make the recent investment decisions as well as he's made them. It's a lifelong game. And if you don't keep learning, other people will pass you by. Let me say temperament. So still is the most important. When you're sure I'm in, of course. But temperament alone won't do it. No, temperament alone won't do it. You have to have the temperament and the right basic idea. And then you have to keep at it with a lot of curiosity. For a long, long time. But you don't have to be blindingly and have any blinding insights or have a high IQ to look at a pet for China, for example. No. I mean, it's a company that is doing two and a half million barrels a day. That's 3.5% of the world or 3% of the world's oil production. And they're selling based on US prices, using WTI as a West Texas intermediate, as a base price, and where they have a significant part of the marketing and refining in a country. Attacks rates 30%. They're going to pay out 45% to you in dividends. Don't have unusual amounts of leverage. If you're buying something like that, well under half, maybe a third of what comparable oil companies are selling for. That's not high-level stuff. I mean, you have to read the reports. But I enjoy doing that. But you wouldn't say that requires any high-level insights or anything, Charlie. Well, when you were buying that block of stock, nobody else to speak of was buying. Thank heavens. The insights can't have been all that common. No, I think that takes a certain amount of what an old-home offer and used to call uncommon sense. You used to say there is no common sense. When people say common sense, they mean uncommon sense. Part of it, I think, is being able to tune out folly as distinguished from recognizing wisdom. And if you just got whole categories of things, you just bat away so your brain is enclettered with them, then you're better able to pick up a few sensible things to do. Yeah, we don't consider many stupid things. We get rid of them fast. And in fact, people get irritated with us because they'll call us. And when they're in the middle of the first sentence, we'll just don't forget it. We can see it coming. And that's the way, actually, the mine was. It was a great article in the New Yorker magazine 30 years ago or so. Little more than that. It was one of the Fisher's Sposky chess matches we're going on. It got into the speculation of what the human's being able to take on computers and chess. And here were these computers doing hundreds of thousands of calculations a second. And they said, how can the human mind, when all you're really looking at is the future, the results from various moves in the future, how can a human mind deal with a computer that's thinking it speaks that are unbelievable. And of course, the exam and the subject sum and a mind like, well, in fact, all minds, but some much better than others. But a Fisher's Sposky essentially was eliminating about 99.99% of the possibilities, but not even thinking about it. So it wasn't that they get out think the computer in terms of speed, but they had this ability in what you might call grouping or exclusion. Or essentially, they just got right down to the few possibilities out of these billions of possibilities that really had any chance of success. And getting rid of the nonsense, I mean, just figuring that people start calling you and saying, I've got this great, wonderful idea. Don't spend 10 minutes, once you know in the first sentence that it isn't a great, wonderful idea. Don't be polite. Go through the whole process. Charlie and I are pretty good at that. We can hang up very fast. Oh, there you have it. All you've got to do is go at it in the way that Vasily Svizlov did when he was the world champion and of chess and just do the same thing in investments."
"Early you had acknowledged that it is a more difficult investment and business environment today than it was when you first started out. My question is, if you are starting out again today in your early 30s, what would you do differently or the same in today's environment to replicate your success? In short, Mr. Buffett, how can I make $30 billion?","Start young. Charlie's always said that the big thing about it is we started building this snowball on top of a very long hill. We started early early age and rolling the snowball down. Of course, the nature of compound interest is it behaves like a snowball, sticky snow and the trick is to have a very long hill, which means either starting very young or living very old. I would do it exactly the same way if I were doing an investment world. If I were getting out of school today and I had $10,000 to invest, I would start with the A's. I would start going right through companies and I probably would focus on smaller companies because I would be working with smaller sums and there's more chance that something is overlooked in that arena. As Charlie said earlier, it won't be like doing that in 1951 when you could leave through and find all kinds of things that just leapt off the page at you. That's the only way to do it. You have to buy businesses. You have to buy a little pieces of businesses called stocks and you have to buy them at attractive prices and you have to buy them to buy into good businesses. That advice will be the same 100 years from now in terms of investing. That's what it's all about. You can't expect anybody else to do it for you. People will not tell you about wonderful little investments. It's not the way the investment business is set up. When I first visited Geico in January of 1951, that rest of that year, I subsequently went down to Blython Company and actually to one other firm that was a leading guy or company that was a leading analyst and insurance. I thought I'd discovered this wonderful thing and I'd see what these great investment houses that specialized in insurance stocks said and they said I didn't know what I was talking about. They wasn't of any interest to them. You've got to follow your own, you've got to learn what you know and what you don't know and within the arena, what you know, you have to pursue it very vigorously and act on it when you find it and you can't look around for people to agree with you. You can't look around for people even know what you're talking about. You have to think for yourself and if you do, you'll find things. Charlie? Yeah, the hard part of the process for most people is the first $100,000. If you have a standing start at zero, getting together $100,000 is a long struggle for most people. I would argue that people who get there relatively quickly are helped if they're passionate about being rational, very eager and opportunistic and steadily understand their income grossly. I think those three factors are very helpful."
"Regarding compensation, you have commented along the lines of people willing to bet big on their abilities, usually have a lot to bet on. A mid-American regulatory filing indicated some attractive, prospective compensation possibilities for senior executive team, subject of course to meeting profitability milestones. Perhaps you might provide some details on the thought process that went into crafting that compensation structure and in doing so use this specific example as a reminder about virtue's compensation philosophy related to pay for performance versus the more popular approaches","If it's easier to figure out in a minister, better for owners and can still attract talented people, why don't more companies adopt such practices? You could make a lot of money working for Berkshire, not if you're chairman or vice chairman, but there's a chance to make a lot of money, but it will relate to performance. No one is going to make lots of money at Berkshire for average performance and you've mentioned the mid-American situation. We've got some extraordinary management in mid-American and in terms of how that compensation arrangement was worked out, I was thinking one day about what would be appropriate for the two individuals who are key to the success of mid-American and I took a yellow pad and I spent about three minutes sketching out a proposal and I went to Walters Scott who was our partner in the business and actually heads the complimenting and I said, well, what are these? There's an idea I have, what do you think of it? He looked at it and he said, it looks fine to me and we talked to the two managers about it and actually as we presented it, we had it so that something over 50% went to the CEO Dave Sokol and something under 50% went to the number two man, Greg Able, who's enormously a well-known and when we gave it to David, he said, I like it fine, but let's make it 50-50. That's the extent of it. As you commented, that's wildly different than the approach to companies. Most companies go through a very elaborate procedures and working out executive compensation. I don't think that Charlie and I have spent maybe five minutes on any. On thinking about any, we have an arrangement at C's Candy with Chuck Huggins. We worked it out in 1972. It's still enforced now. John Holland took over a fruit of the loom a couple of years ago. I met with him for a couple of minutes, suggested something, takes up a paragraph or two and that's what we'll have with John, the rest of his life. It's not highly complex. You have to understand the businesses. There is no one formula we could use at Berkshire that would fit across our businesses. That's Asa 9. You don't want them complicated. We don't have anything that goes on for pages and pages. It's not needed. It establishes a relationship between us and the manager that's not good. So all of our stuff is very, very simple. At Geico we have two variables. And they're what count. So we make, from Tony and I, we have everybody participating based on that. We worked that out. Whenever we took over at Geico and it's worked fine since then it'll keep working. But we do not bring in compensation consultants. We don't have a human relations department. We don't have, we don't, the headquarters as you can see. We don't have any human relations department. We don't have a legal department. We don't have a public relations department. We don't have an investor relations department. We don't have those things. Because they make life way more complicated and everybody gets invested interested in going to conferences and calling another consultants. It takes on a life of its own. In the typical large corporation there's a comp committee. And as I pointed out in the past, they don't put dobermans on the comp committee usually. They look for show how I was that have been sedated and I've been on 19 boards. They put me on one committee once and I was chairman and I got out voted. Do you remember that, Shirley? I certainly do. Yeah. It's very fine guys. Yeah, the terrific guys actually. And they, you know, the nature of it is that now particularly with Sarabane's actually, there's lots of committee meetings, the directors meetings are filled up with process. And you have on one side of the tables and people that are usually are spending an hour or two and getting presented with a bunch of material by the human relations department and the, and some outside consultants. And I've never seen that had a human relations department or a consultant come in and say, this is a bozo you've got is only worth about half what you've been paying. And it's just isn't going to happen. So it's a situation where the intensity of interest on both sides is seldom equal. The directors are often dealing with something my friend Tom Murphy in the past is called play money and the CEO is dealing with something very dear to his heart. So you've got to expect the situation like that to get gained over time, not over time, probably actually and there's some change in that that's taking place. But it's not being in my in large part, it's not being led by CEOs and it's difficult for directors to do to get a lot done. They get handed a sheet of paper that shows them comparable elsewhere and everybody thinks they're CEOs in the top 25% or something. And so there's a ratcheting effect that takes place. And now stock options are kind of out of favor. So restricted stock comes in. But the idea is to keep the pie very large for CEOs. And if I needed the money, I'd probably be doing the same thing. Charlie? Well, I would rather throw a viper down my shirt front than hire a compensation consultant. Probably which kind of consultants you actually like,"
Do you have any timetable regarding when you will write your own book about your career and philosophy?,"Yes, my time to have always been six months from now. The answer on that is I thought about doing it a few times and I think about it. It always seems to me there's way more interesting things yet to happen than it happened so far and I don't want to I know I won't write a second one so I keep postponing it. That's my that's my ration to hell out of that."
"question concerns dividends. Last Friday night by coincidence on Lewis Rukaiser's weekly television show, the special guest was Philip Carey and Mr. Carey made the statement that his favorite American stock is Berkshire Hathaway and one of the major reasons he stated was that Berkshire has never paid a dividend as we all know. And consequently you had superior utilization of the extra cash. Now, if you extend that reasoning, could it also be a beneficial policy if Coca-Cola and Gillette stop paying dividends and utilize the cash in other ways?","Well, it depends what they could use that how they would utilize the cash and what they could use it for. Those are more focused enterprises than Berkshire, at least in terms of products. They I think I commend management that have a wonderful business for utilizing cash in those wonderful businesses or in businesses that they understand and will also have wonderful economics and for getting the rest of the money back to the shareholder. So Coca-Cola in my book is doing exactly the right thing with its cash when it both when a it uses all the cash that it can effectively in the business to expand in new markets and all of that sort of thing. But then beyond that, it pays with the dividend which distributes cash to shareholders and then it repursures the shares in a big way which returns cash on a selective basis to shareholders but in a way that benefits all of them. So we you will benefit from us not paying dividends just as long as we can use the every dollar we retain to produce more than a dollar of value and of market value over time. So we can continue doing that, how long we can continue doing that, I can't promise you. But that is the yardstick by which the decision is made. And that is the yardstick by which Coca-Cola is making the decision too and I think that they deserve great credit for exercising the discipline to quit when they use in cash when they run out of the opportunities to use it well and then to use it then the further deploy it advantageously by repurchasing shares. I think one of the things I admire about my friend Bill Gates, he's got 4.5 billion of cash and Microsoft and very few managements can stand having 4.5 billion of cash and not doing something unintelligent with it. So far it's made sense for us to retain everything we earn. And I think it will make sense for a while longer but it may not make sense indefinitely."
"Gentlemen, you have stated many times that Lou Simpson manages the Geico Investment portfolio on an independent and autonomous basis. What unique or superior qualities does Mr. Simpson possess as an investor that is earning this tremendous vote of confidence? Secondly, Berkshire Invest in privately-held businesses, as well as publicly-traded securities, while the skillset required to value public and private businesses may be the same. Does Mr. Simpson also have the additional experience and skills necessary to negotiate a private transaction if caught upon a do so?","Yeah, I think he could, but I hope he doesn't get caught onto very soon. Lou is smart and careful and high-grade and experienced. So, he does manage a couple billion dollars autonomously. He will buy things I won't know about him until I either look at a monthly sheet or sometimes read it in the paper. And that's fine. You know, he doesn't know what I'm doing. I don't know what he's doing. And every now and then we're in the same security, so we try and coordinate if we're buying or selling under those circumstances. And incidentally, you will occasionally read a headline or not a very big headline, but in the financial press that says, Buffett buying a XYZ, well, sometimes it's a Simpson buying XYZ. The reports we file would not necessarily tell the reader which one of us made the decision. Because even if the report showed that something was bought in Geico, that could be bought in by me and placed in Geico for various reasons or conceivably, Lou can buy something and place it in national indemnity or some other Berkshire company for reasons, for also for perfectly good reasons. But some of what gets reported is done by Berkshire is done by Lou entirely independent of me and most of it in terms of dollars is done by me. But Lou's record is just as good as mine. And Lou wouldn't know how to evaluate businesses, whether private negotiations or public securities and what I'm in no hurry to turn it over."
"you said that you de-centralized the operating decisions, but centralized the capital allocation decisions. What kind of staff do you have in Omaha to help you with the capital allocation decisions and the stock selection decisions you make? Or do you and Charlie do that pretty much by yourselves?","We don't have any staff to help us on it. I mean, basically, we tell them to mail all the money to Omaha. And then when we get there, we put our arms around it. And we allocate all the capital ourselves. I mean, that is our job. And we don't feel we should delegate. I mean, we wouldn't do it anyway. Our personalities aren't such that we would delegate our allocating our own money to somebody, letting somebody else allocate our own money. But we feel that's our job. And it's interesting, and I've written about this in the past, that that's an important job for most management. There are some companies where it's not. But it usually is a very important job for most management. And if you take a CEO that's in a job for 10 years, and he has a business that earns, say, 12% on equity, and he pays out a third, that means he's got 8% per year of equity. I mean, when you think of this 10-year in office, how much capital he's allocated, it's an enormous factor over time. And yet, probably relatively few chief executives are either trained for or are selected on the basis of their ability to allocate capital. I mean, they get there through other routes. So I've said it's like somebody playing the panel of their life, and then getting the Carnegie Hall in the Hand of the Violin. I mean, it is a different function than most than the route than the functions that exist along the routes to the CEO's job at most companies. And so many CEOs, when they get there, think they can solve it by either having a staff that does it or by hiring consultants or whatever it may be. And in our view, that's a terrible mistake because it's, if not the key function of the CEO, it's one of two or three key functions that say 80 or 90% of all companies. And if you can't do it yourself, you're going to make a lot of mistakes. You may make a lot of mistakes, even if you do it yourself. But if you wouldn't want anybody in any other position of that importance in the company, essentially saying, I don't know how to do this, so I'm going to have somebody else do it. That's their key responsibility. But that's the way it works in business. And Charlie and I take responsibility for all capital allocation decisions other than just sort of routine expenditures at the operating businesses. And we don't get into those at all. I mean, if our managers are spending three or four million dollars a year on machinery, or one of them is, I mean, a machinery equipment, plants, new leases, we have no review process on that. And we don't have a staff and headquarters. We don't waste the time to do that. We think those people know how to allocate the money that relates to the actual operations of their business. We think in terms of the capital that is generated above that, that that's our job, Charlie and me. Yeah, I would say we have practically nobody at headquarters. You know, one of the reasons Warren shines up so well is, you know, he's being compared to practically nobody. And I might say one interesting one, we're having this meeting, for example. I think there's one person there in the office. I mean, the rest of them are down here helping on the meeting. But here we are. Here we are. Warren and I are selling candy and encyclopedias and so forth. The chief financial officer of Berkshire Havoy is handling the microphones. I mean, this makes Southwest Airlines look like they don't understand. Cost and public. Cost accounting. I mean, it's a very old fashioned place. And by the way, speaking of walking our merchandise, if any of you have safety deposit boxes full of Berkshire Havoy's certificates and have children or grandchildren who don't have world book and print in the house, you are making a very serious error. That is a marvelous thing to have in a house. And the discount only applies today. I think that's right. It is. That is it. It may not be selling too well because of the current vogue for encyclopedias on computers. And by the way, those encyclopedias that are available are inferior compared to world book, which is very user friendly for children. I like it that way myself. And I know. That is one product you really ought to buy. We both use it personally. I keep a set of the office and a set of home. I give away more of that product than any other product that Berkshire Havoy makes in any subsidiary. It's a perfectly fabulous human achievement. The editor thing, that user friendly, with that much wisdom encapsulated. It's a fabulous thing."
